RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex THEPOT,GK,
201,1096,MEX,LUQUE Juan (MEX),S,0,Oscar BONFIGLIO,GK,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel LANGILLER,Outfield,G40'
201,1096,MEX,LUQUE Juan (MEX),S,0,Juan CARRENO,Outfield,G70'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Ernest LIBERATI,Outfield,
201,1096,MEX,LUQUE Juan (MEX),S,0,Rafael GARZA,"Outfield, C",
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Andre MASCHINOT,Outfield,G43' G87'
201,1096,MEX,LUQUE Juan (MEX),S,0,Hilario LOPEZ,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Etienne MATTLER,Outfield,
201,1096,MEX,LUQUE Juan (MEX),S,0,Dionisio MEJIA,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel PINEL,Outfield,
201,1096,MEX,LUQUE Juan (MEX),S,0,Felipe ROSAS,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex VILLAPLANE,"Outfield, C",
201,1096,MEX,LUQUE Juan (MEX),S,0,Manuel ROSAS,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Lucien LAURENT,Outfield,G19'
201,1096,MEX,LUQUE Juan (MEX),S,0,Jose RUIZ,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel CAPELLE,Outfield,
201,1096,MEX,LUQUE Juan (MEX),S,0,Alfredo SANCHEZ,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Augustin CHANTREL,Outfield,
201,1096,MEX,LUQUE Juan (MEX),S,0,Efrain AMEZCUA,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Edmond DELFOUR,Outfield,
201,1096,MEX,LUQUE Juan (MEX),S,0,Luis PEREZ,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Celestin DELMER,Outfield,
201,1096,MEX,LUQUE Juan (MEX),N,0,Isidoro SOTA,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Andre TASSIN,Outfield,
201,1096,MEX,LUQUE Juan (MEX),N,0,Jesus CASTRO,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Nouma ANDOIRE,Outfield,
201,1096,MEX,LUQUE Juan (MEX),N,0,Felipe OLIVARES,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Jean LAURENT,Outfield,
201,1096,MEX,LUQUE Juan (MEX),N,0,Raimundo RODRIGUEZ,Outfield,
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Emile VEINANTE,Outfield,
201,1096,MEX,LUQUE Juan (MEX),N,0,Roberto GAYON,Outfield,
201,1096,MEX,LUQUE Juan (MEX),N,0,Francisco GARZA GUTIERREZ,Outfield,
201,1090,USA,MILLAR Bob (USA),S,0,Jimmy DOUGLAS,GK,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Arnold BADJOU,GK,
201,1090,USA,MILLAR Bob (USA),S,0,Tom FLORIE,"Outfield, C",G45'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Jean DE CLERQ,Outfield,
201,1090,USA,MILLAR Bob (USA),S,0,Jimmy GALLAGHER,Outfield,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Jan DIDDENS,Outfield,
201,1090,USA,MILLAR Bob (USA),S,0,Billy GONSALVES,Outfield,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Auguste HELLEMANS,Outfield,
201,1090,USA,MILLAR Bob (USA),S,0,Bart McGHEE,Outfield,G23'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Nikolaas HOYDONCKX,Outfield,
201,1090,USA,MILLAR Bob (USA),S,0,George MOORHOUSE,Outfield,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Jacques MOESCHAL,Outfield,
201,1090,USA,MILLAR Bob (USA),S,0,Bert PATENAUDE,Outfield,G69'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Theodore NOUWENS,Outfield,
201,1090,USA,MILLAR Bob (USA),S,0,Ralph TRACY,Outfield,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Fernand ADAMS,Outfield,
201,1090,USA,MILLAR Bob (USA),S,0,Alexander WOOD,Outfield,
